SNPID;Company Name;Product Name;JDX;HU
012;Native Instruments GmbH;Elastic Thump
013;Native Instruments GmbH;Keyboard Collection;7067C981B437C96F5C2688D778162ADAF4549B44BD28D3BE25AA594589D806DA;31E60C7B77D537532C47722E37928C2F
014;Output;ANALOG STRINGS;AD2122948CD180A3B4F138D91B60F59E10718FE814AE018066EA717A43CA6656;DAB97B116E85F1E98BAAD78B8FD5D0EC
015;Realitone;Hip Hop Creator;57934553AF4A7CC64E4423D0FB21C915D9D44B8623A8461B53CFB27B2373C453;2C8B1F35D33E80F471721A85DCD93396
016;Native Instruments GmbH;Prismatic Bliss
017;SonicCouture;Electro Acoustic;D622D62290EE7A0712F2876F66AA8E0E5DD40E885183E96E98A212C5A1E3441C;E76F2D1FE0824A59E08349C355C78F5A
018;Best Service;Chris Hein - Solo ContraBass;207EF297755B0513F73CE5BA4681537A32CC31B897B2CFAEE5221F5A870AA17D;4B4673D0AA6817EF52573564B30BC56E
019;SonicCouture;Estey Reed Organ;D06E4A6DF6BEE9F0993368BD84DDB313B173CD2B128C8CDB23B3DB50A7CC3CD6;7DAFCF854F2A71B743C00A4F97B195F7
020;DAC Acoustic Services;Soca Starter Pack - Volume 1;A751531B291741B2E753469C59D1E08E1F4FF7D99484267A41E5B40B88E3FB4E;984001EDD7629B82AF378EAC10D51C06
021;Divergent Audio Group;Invasors;89058B9E9692E9AA9FE382827EE1149E5B236734FF1B06243412C3F88B1E02F5;F71672BE3CCA4ACE71A9AEAC582F2D91
022;Native Instruments GmbH;Kinetic Treats;54493ABC0DD87863987B1B6563083DAEAB0BD41CB8E2BD8C0213C7A9DE1154C2;E8671DC57F37A0CC7EF678C0304A40D1
023;Big Fish Audio;Grindhouse;CCC919D6BDBEC69777E0A86575DD8D8B47121D18248CBD3E5689FDAC27920448;66E686BA17AF787FCB11CDBFE3AA386C
024;ProjectSAM;Swing More!;878D50502B42E9CADC4595FB798B4DF4397E302870B8D795F6C8EF9CD1F0F09E;AB9F3743ED91B7349168AD5888C310A3
025;Best Service;Ethno World 6 Voices;027E57BF39F2F2048142B76231E3F43A896336EB7DFEB641674D78D0D81FA3B6;CDD251220995B36B0068246CBD46A678
026;Sonokinetic;Ostinato;29CDD011BB3E8DCBEA702734418DB767BDC12120848ABD814F6690E026668EAE;99A667BD72A6420EA0DCE81A8212800A
027;Best Service;Ethno World 6 Instruments;F69098314B2740B6EF3DC6EE1EA14287BB9326B74CE10DA4C55D3EA135D658C0;81222E4EA2DBC0D075EEAB54DEFACC28
